# core_GHz	uncore_GHz	energy_pkg
0.545000	0.000000	296.203141
0.683000	0.000000	253.878128
0.883000	0.000000	208.479141
1.083000	0.000000	174.694862
1.283000	0.000000	151.164360
1.483000	0.000000	126.590264
1.683000	0.000000	103.838455
1.883000	0.000000	114.697204
2.083000	0.000000	102.762771
2.283000	0.000000	94.218696
2.483000	0.000000	94.836883
2.683000	0.000000	87.863075
2.883000	0.000000	91.277382
3.083000	0.000000	93.564354
3.283000	0.000000	96.663903
3.483000	0.000000	102.798980
3.683000	0.000000	104.461937
3.883000	0.000000	101.470276
4.083000	0.000000	109.771858
4.283000	0.000000	116.913689
4.483000	0.000000	131.929741
4.683000	0.000000	151.507775
4.883000	0.000000	179.722885
5.083000	0.000000	192.081627
5.283000	0.000000	196.971985
5.483000	0.000000	204.491295
5.683000	0.000000	203.738022
5.883000	0.000000	205.276581
