# core_GHz	uncore_GHz	kilo_edp_pkg
0.545000	0.000000	6.874161
0.683000	0.000000	4.865565
0.883000	0.000000	3.156366
1.083000	0.000000	2.115028
1.283000	0.000000	1.524231
1.483000	0.000000	1.021382
1.683000	0.000000	0.628536
1.883000	0.000000	0.810268
2.083000	0.000000	0.621524
2.283000	0.000000	0.474759
2.483000	0.000000	0.478077
2.683000	0.000000	0.354686
2.883000	0.000000	0.368839
3.083000	0.000000	0.377912
3.283000	0.000000	0.390871
3.483000	0.000000	0.415110
3.683000	0.000000	0.422253
3.883000	0.000000	0.307752
4.083000	0.000000	0.333381
4.283000	0.000000	0.354699
4.483000	0.000000	0.399518
4.683000	0.000000	0.457846
4.883000	0.000000	0.543940
5.083000	0.000000	0.580934
5.283000	0.000000	0.596669
5.483000	0.000000	0.620000
5.683000	0.000000	0.617036
5.883000	0.000000	0.623310
